idx	ATU	SUB	Classifications	Category	Subcategory	Variation Example
1920	1718	*	Guð þolir ekki brandara	Sögur og brandarar (1200-1999)	1675-1724 Heimski maðurinn	Maður í lífshættu biður Guð um hjálp (sér heit um að ef honum verði bjargað muni hann gera eitthvað fyrir Guð). Hann kemst undan hættunni en neitar því að Guð hafi hjálpað honum (efnir ekki loforð sitt). Þegar hann lendir aftur í hættulegri stöðu spyr hann Guð: „Þolirðu ekki grín?“
1921	1725	-	Elskhuginn uppgötvaður	Sögur og brandarar (1200-1999)	1725-1774 Prestur er blekktur	Bóndi og þjónn hans eru að plægja. Þjónninn fer heim og heyrir í bóndakonunni og elskhuga hennar (oft presti). Elskhuginn felur sig. Þjónninn þykist eiga að vinna eitthvað sem ógnar felustað elskhuga síns: kveikja í ofninum, þrífa reykháfinn, hreinsa ullina. Hann er að fara að kasta kistu sem elskhuga sínum felur sig í í vatn eða kasta henni niður stigann (hann sleppir elskhuganum gegn lausnargjaldi). Elskhuginn felur sig í bás kálfsins og þjónninn rekur hann út með svipu. Konan vill koma með mat út fyrir elskhuga sinn, en hún telur sig geta fundið hvar hann er með því að fylgja ákveðnum skilti á leiðinni. Þjónninum tekst að breyta skiltiunum (t.d. setur hann klút á hest til að breyta lit hans) þannig að konan komi með matinn til hans í staðinn. Konan sendir þjóninn til að færa elskhuga sínum mat (til að bjóða honum í mat). Þjónninn hendir matnum á leiðinni og segir elskhuga sínum að eiginmaðurinn hafi uppgötvað framhjáhaldið. Á leiðinni til baka segir hann bóndanum að elskhuga sínum hafi neitað að koma. Eða hann segir að ástmaðurinn vilji að bóndinn hjálpi sér að gera við brotna plóginn sinn. Þegar ástmaðurinn sér bóndann safna matnum sem dreifður er meðfram veginum heldur hann að hann sé að koma með verkfærin eða að fara að ráðast á hann, svo hann hleypur í burtu. Á meðan hefur þjónninn sagt konunni að eiginmaður hennar viti um framhjáhald hennar, svo hún hleypur í burtu. Hann segir bóndanum að hún hafi farið vegna þess að þorpið hennar (húsið) brann. Eða að hún hafi lofað að elda alltaf jafn góðan mat og hún gerði í dag ef eiginmaður hennar nær henni. Bóndinn eltir hana strax. Að lokum játar eiginkonan og hún (og ástmaður hennar) eru hugsanlega refsað.
1922	1730	-	Innsigluðu biðlarnir	Sögur og brandarar (1200-1999)	1725-1774 Prestur er blekktur	Ýmislegt. Þrír menn (yfirleitt prestar) sækjast eftir fallegri og trúföstu eiginkonu. Með samþykki eiginmanns síns býður hún þeim í einkasamkvæmi. Áður en óskum fyrri mannsins er fullnægt kemur sá síðari og sá fyrsti verður að fela sig í óþægilegri stöðu. Þegar allir þrír elskendurnir eru gripnir þannig eru þeir drepnir eða refsað á annan hátt, eða þeir eru hæddir að eða látnir greiða lausnargjald.
1923	1731	-	Æskan og fallegu skórnir	Sögur og brandarar (1200-1999)	1725-1774 Prestur er blekktur	Ungur maður fer á heimili prests og tælir þjónustustúlkuna, dótturina og eiginkonuna. Hann lofar að gefa þeim hvoru um sig fallegt par af skóm sem hann hefur stolið. Í staðinn hótar hann að sýna þau prestinum og lætur þá borga honum fyrir að segja ekki frá því. Í sumum útgáfum platar hann einnig prestinn. Hann gefur honum lyf við sköllóttu (sködduðu) hári hans og skipar honum að segja: „Ég veit það sem ég veit, en ég mun ekki segja frá því.“ Presturinn gerir þetta og konurnar játa kynferðisleg sambönd sín fyrir honum.
1924	1734	*	Hvers kýr var stungin?	Sögur og brandarar (1200-1999)	1725-1774 Prestur er blekktur	(Auga fyrir auga.) Dýravörður heyrir prédikarann halda prédikun um biblíulega orðtakið „auga fyrir auga“. Þegar kýr prédikarans stangar kú hans með hornunum og drepur hana, vill dýravörðurinn að prédikarinn gefi sér nýja kú. Prédikarinn neitar. Það hefði þó verið öðruvísi ef kýr dýravörðsins hefði drepið kú prédikarans.
1925	1735	-	„Sá sem gefur eigur sínar mun fá tífalt til baka“	Sögur og brandarar (1200-1999)	1725-1774 Prestur er blekktur	Predikari prédikar þar sem hann segir að hver sem gefur ölmusu fái hana tífalt til baka. Bóndi færir honum einu kú sína. Um kvöldið fer hún heim til bóndans og allar kýr prestsins fylgja henni. Bóndinn vill halda öllum kúnum því Guð hefur sent þær til hans. Bóndinn og presturinn eru sammála um að kýrnar skuli tilheyra þeim sem segir fyrst „Góðan daginn“ við hinn. Bóndinn dvelur leynilega í húsi prestsins og sér til þess að presturinn gisti hjá þjónustustúlku sinni. Um morguninn heilsar bóndinn prestinum og lætur hann vita að hann viti af sambandi sínu. Predikarinn leyfir bóndanum að halda kúnum.
1926	1735	A	Rangt lag	Sögur og brandarar (1200-1999)	1725-1774 Prestur er blekktur	Prestur er svo nískur að hann gefur bændum enga hluta af svínunum sem hann hefur slátrað. Dýravörðurinn (kennari, fátækir bændur) stelur einu af svínum hans (kú, kind, skinku). Presturinn heyrir ungan son (dóttur) dýravörðsins syngja: „Faðir minn stal svíni prestsins“. Presturinn hrósar barninu eða laginu og lofar að gefa því peninga og föt (skó, mynd) ef það syngur það á sunnudegi í kirkjunni. Barnið segir föður sínum frá (faðirinn verður grunsamlegur), sem kennir því annað lag. Á sunnudegi tilkynnir presturinn úr prédikunarstólnum: „Það sem þetta barn syngur er satt“. Barnið syngur: „Presturinn hefur sofið hjá móður minni (öllum konunum í þorpinu)“. Eða: „Öll börnin með rautt hár tilheyra prestinum“. Presturinn reynir að neita þessu, en bændurnir gera grín að honum og hann verður að yfirgefa kirkjuna (missir stöðu sína, deyr úr skömm).
1927	1735	B	Endurheimta myntin	Sögur og brandarar (1200-1999)	1725-1774 Prestur er blekktur	Maður setur pening í fórnarkassann og tekur hann upp með þræði. Presturinn segir: „Guð endurgjaldi þér!“ Maðurinn svarar: „Hann hefur þegar gert það.“
1928	1736	-	Hinn níski prestur	Sögur og brandarar (1200-1999)	1725-1774 Prestur er blekktur	Þjónn (þjónar, Eulenspiegel) snáslegs prests sefur í stað þess að slá túnið. Hann setur geitungabúr (mauraþúfu, bjöllu) í kassa (poka) og segir prestinum að hann hafi fundið kassa fulla af gulli í túninu. Presturinn segir að það sé hans. Þjónninn mótmælir en samþykkir að lokum og hótar að gullið muni breytast í geitunga og grasið í túninu muni vaxa aftur.
1929	1736	A	Sverð breytist í tré	Sögur og brandarar (1200-1999)	1725-1774 Prestur er blekktur	Konungur dulbýr sig og heimsækir gistihús. Þar hittir hann hermann sem hefur selt sverð sitt til að kaupa sér drykki. Konungurinn spyr hann hvernig hann muni heilsa og hermaðurinn svarar að hann eigi við stærri vandamál að stríða. Hann skiptir síðar sverðinu út fyrir tré. Daginn eftir skipar konungurinn hermanninum að hálshöggva vin sinn (annar mann). Hermaðurinn biður Guð um að breyta sverði sínu í tréstykki svo að hann þurfi ekki að drepa vin sinn (ef maðurinn er saklaus). Konungurinn fyrirgefur honum.
