idx	ATU	SUB	Classifications	Category	Subcategory	Variation Example
960	926	-	Dómur Salómons	Raunverulegar sögur (850-999)	920-929 Snjallar aðgerðir og orð	Tvær konur gera báðar kröfur um barn. Dómarinn Salómon býðst til að skera það í tvennt. Önnur konan neitar (sleppir þegar barnið á að vera ríft í sundur, reynir að koma í veg fyrir að dómarinn skeri það) og er því staðráðin í að vera hin raunverulega móðir.
961	926	A	Snjalli dómarinn og djöfullinn í pottinum	Raunverulegar sögur (850-999)	920-929 Snjallar aðgerðir og orð	Til að eignast fallega konu tekur illur andi (töframaður) á sig mynd eiginmanns hennar og gerir hana að eiginkonu sinni. Eiginmaðurinn og illur andi deila um hvor sé hinn raunverulegi eiginmaður. Fjölmargir eru spurðir ráða en enginn getur greint á milli mannanna tveggja. Að lokum segir dómari (snjall drengur [sem leikur sér að því að vera konungur eða dómari], fjárhirðir, héri, sjakal, páfagaukur) að sá sem getur skriðið inn í pott (rör) sé hinn raunverulegi eiginmaður. Eiginmaðurinn kemst ekki inn en illur andi læðist strax inn. Potturinn er þakinn og illur andi er þekktur og fastur. Hinn raunverulegi eiginmaður fær konu sína til baka.
962	926	A*	„Kauptu ekki þann sem er fremri þér.“	Raunverulegar sögur (850-999)	920-929 Snjallar aðgerðir og orð	Faðir (ekkja) sendir son sinn (þrjá syni) burt til að læra handverk (vinna sér inn peninga). En drengurinn lærir að spila á hljóðfæri og spila á spil í staðinn. Þegar hann á að vera seldur sem þræll kaupmanni (þegar hann leitar sér vinnu hjá ríkum manni) segir hann: „Kauptu ekki einhvern sem er þér æðri“ eða „Sá sem tekur mig mun sjá eftir því; sá sem tekur mig ekki mun sjá eftir því tvöfalt meira“. Með snjöllum gjörðum sínum, með því að spila fólk upp á móti öðru, með tónlist sinni og fjárhættuspilum tekst honum vel í ýmsum aðstæðum. Að lokum giftist hann dóttur ríka mannsins (kaupmanns, skipstjóra). Þegar tengdafaðir hans brýtur gegn konungsúrskurði (skip mega ekki lengur skjóta fallbyssum) og er dæmdur til dauða, frelsar ungi maðurinn hann úr gálganum (með þremur tómum hnetum, sem tákna gildi tengdaföður hans). Að lokum öðlast ungi maðurinn auð og heiður.
963	926	C	Mál leyst á þann hátt sem Salómon var verðugur	Raunverulegar sögur (850-999)	920-929 Snjallar aðgerðir og orð	Þessi tegund sögu inniheldur ýmsar sögur sem fjalla um hugmyndir um óvenjulegar, oft snjallar, aðferðir til að komast að sannleikanum. Dæmi: (1) Fátækur maður finnur veski með peningum í og skilar því eiganda sínum í von um verðlaun. Eigandinn lætur eins og peningar séu horfnir og að finnandinn hafi þegar tekið þá sem verðlaun. Dómarinn ákveður að þar sem peningaupphæðin er önnur, þá tilheyri veskið ekki manninum sem krafðist þess og að fátæki maðurinn megi halda því þar til réttmætur eigandi finnst. (2) Dómari gefur öllum grunuðum prik í dómsmáli og segir þeim að prik hins seka muni vaxa á nóttunni. Seki maðurinn sker af prikinu sínu og er þannig uppgötvaður. (3) Einhver tilkynnir öllum íbúum þorpsins að þjófurinn hafi mýflugu á húfunni sinni (að húfan hans sé að brenna). Einn maður nær í húfuna sína og sýnir sig þannig vera þjófurinn. (4) Allir grunaðir eru beðnir um að snerta einhvern hlut í myrkrinu og þeim er sagt að hönd hins seka verði svört. Reyndar svertir hluturinn allar hendur sem snerta hann. Seki maðurinn snertir ekki hlutinn og er því sá eini sem hefur ekki svartað höndina. (5) Til að ákvarða hvor tveggja kvennanna eigi snældu úr þræði spyr dómarinn þær úr hverju snældan sé gerð. Aðeins eigandinn veit rétta svarið. (6) Deiluaðilum er gert að búa til eftirlíkingu af hinum umdeilda hlut (gimsteini). Eigandinn og svindlarinn geta gert það, en falskra kröfuhafar geta það ekki. (7) Maður (gistihúseigandi) sem silfrið hefur verið stolið kallar gesti sína (starfsmenn) að borðinu og skipar þeim að gera ýmsar fáránlegar bendingar. Þegar þeir eru allir uppteknir af þessum leik skipar hann þeim að stinga höfðinu undir borðið. Síðan spyr hann hvort þjófurinn hafi höfuðið undir borðinu. Þjófurinn svarar: „Já“.
964	926	C*	Trúlofuðu börnin	Raunverulegar sögur (850-999)	920-929 Snjallar aðgerðir og orð	Börn tveggja kaupmanna hafa verið trúlofuð frá barnæsku en þau búa í sitthvorri borginni. Drengurinn fær allegórískar skipanir (ef öndin hefur dottið í hismið, berðu hana o.s.frv.) og faðir hans sendir burt. Brúðurin þekkir brúðgumann sinn á þessum allegórísku orðum.
965	926	D	Dómarinn tileinkar sér hlutinn sem deiluefnið er um.	Raunverulegar sögur (850-999)	920-929 Snjallar aðgerðir og orð	Þessi tegund af sögum samanstendur af ýmsum sögum sem fjalla um deilu milli tveggja aðila sem er dæmd í vil fyrir þriðja aðila sem á að dæma í máli þeirra. Dómarinn tekur annað hvort umdeilda hlutinn sem sönnunargagn eða eyðileggur hann. Til dæmis slást tveir kettir um hrísgrjónaköku og apinn sem á að dæma í málinu étur hana. Lögmaður sem á að dæma í máli tveggja manna rukkar þá svo háa þóknun að hann getur keypt umdeilda hlutinn (kálfinn) fyrir tekjur sínar. Fuglasöngur var ekki ætlaður stefnandanum heldur dómaranum.
966	926	E	Eginhard og Emma	Raunverulegar sögur (850-999)	920-929 Snjallar aðgerðir og orð	Eftir að hafa gist nóttina hjá dóttur keisarans í herbergi hennar getur elskhugi hennar ekki farið án þess að vera uppgötvaður vegna þess að snjór hefur fallið. Hún ber hann á bakinu inn í íbúð hans því hennar eigin fótspor eru minna grunsamleg. Keisarinn tekur eftir þessu og leggur málið fyrir ráðgjafa sína. Til að binda enda á rifrildið sem fylgdi í kjölfarið leyfir hann elskendunum að giftast.
967	927	-	Að ráðast á dómarann	Raunverulegar sögur (850-999)	920-929 Snjallar aðgerðir og orð	Maður (kona) sem dæmdur er til dauða er látinn laus þegar dómarinn getur ekki leyst gátuna sem hinn dæmdi (af ættingja hins dæmda) leggur fyrir hann. Gátan vísar til óvenjulegra eða tilviljanakenndra atburða sem gerðust fyrir þann sem leggur fram gátuna og er því óleysanleg fyrir utanaðkomandi. Það eru fjórar megingátur: (1) Samsonsgáta hinna lifandi í hinum látnu, „Frá etaranum kom kjöt og frá sterkri sætu“ – Býflugnasveimur safnar hunangi í ljónshræi. („Hvað hefur sjö tungur í einu höfði?“ – Fuglahreiður með sjö ungum fundust í hesthöfði; „Drekkið þetta vín sem fugl tók í hreiður sitt“ – Storkur tók vínberjaklasa til að hreiðursetja og drengur býr til vín úr þeim.) (2) Gáta dótturinnar sem hefur brjóst, „Áður var ég dóttir, nú er ég móðir; ég á son sem var eiginmaður móður minnar“ – Kona hefur brjóstað fangelsaðan föður sinn (kona brjóstasynir son sinn, eiginkona brjóstasynir öðrum manni) í gegnum sprungu í fangelsisveggnum. (3) Íló-gáta (sett fram af konu), „Ástina sit ég, ástina stend ég; ástina held ég, fast í hendi; ég sé Ástina, ástin sér mig ekki. Gátu mig að, eða ég verð hengdur“ – Kona hefur drepið hund sinn sem heitir Ást (Íló); úr skinni hans hafa verið gerðir skór, hanskar og stóláklæði; („Með því sem hugsar, drekk ég; það sem sér, ber ég; með því sem étur geng ég“ – Kona hefur drepið elskhuga sinn, úr höfuðkúpu hans hefur verið gerður bikar, úr öðru auga hans hringur og hún ber tvær af tönnum hans í stígvélum sínum). (4) Gáta ófæddra barna, „Ég er ófæddur; ég ríð ófædda (ég borða ófædda)“ – Drengur fæddist með keisaraskurði; hann á hest sem fæddist einnig óeðlilega (hann borðar kjöt af dýri sem var tekið úr líkama látinnar móður þess).
968	927	A	Aftöku sem komist var hjá með því að nota þrjár óskir	Raunverulegar sögur (850-999)	920-929 Snjallar aðgerðir og orð	Konungur fyrirskipar að gesturinn sem snýr fiskinum á diski sínum (fellir hnífinn, talar hátt) skuli tekinn af lífi, og einnig að hver sá sem dæmdur er geti fengið þrjár óskir uppfylltar. (Ungur) maður brýtur fyrirmælin og ber fram þrjár óskir sínar. Ein af óskunum er að allir þeir sem sáu hann snúa fiskinum skuli blindaðir. Allir viðstaddir þykjast ekki hafa séð neitt og hinn ákærði er látinn laus.
969	927	A*	„Gamli hnakkurinn“ veittur af konungi	Raunverulegar sögur (850-999)	920-929 Snjallar aðgerðir og orð	Bóndi gerir konungi gott (hermaður krefst launa fyrir langa þjónustu). Í staðinn biður hann um gamlan söðul. Grunsamur konungur undirritar gjafabréfið. Seinna reynist „gamli söðullinn“ vera stór eign. Engu að síður stendur blekkti konungurinn við loforð sitt og gefur honum hann.
