idx	ATU	SUB	Classifications	Category	Subcategory	Variation Example
680	752	C	The Prodigious Mower	Religious Tales (750-849)	750-779 God Rewards & Punishes	A saint (God, devil) has to mow a field in exchange for a dinner. He mows so hard that he is believed to be the devil (other mowers become jealous & put some laxative in his soup). Or, when threshing corn he breaks his anvil into two parts.
681	753	-	Christ & the Smith	Religious Tales (750-849)	750-779 God Rewards & Punishes	Christ (St. Peter, St. Eligius, saint) visits a haughty smith, takes off a horse’s foot in order to shoe it, & replaces the foot. He rejuvenates an old woman by putting her in the fire. The smith tries to do the same with his old mother-in-law but only deforms her. The smith’s wife & daughter, both pregnant, are so shocked at seeing her that both give birth to a monkey. This explains the origin of monkeys. In some variants the attempt at rejuvenation produces a monkey.
682	753	*	Christ (God) Turns a Thief into an Ass	Religious Tales (750-849)	750-779 God Rewards & Punishes	An innkeeper intends to rob Christ (God) & St. Peter (saint) . Christ turns him into a donkey & gives him to another person for whom he must work. Later Christ restores him to human form & gives him the money he had earned as an ass.
683	753	A	Unsuccessful Resucitation	Religious Tales (750-849)	750-779 God Rewards & Punishes	Christ (St. Peter, angel) resuscitates a dead princess (girl). A companion tries to do the same, fails, & is warned against trying again (is condemned & rescued by Christ).
684	754	-	Lucky Poverty	Religious Tales (750-849)	750-779 God Rewards & Punishes	A poor man (cobbler, weaver, smith, porter, falconer) is happy despite of his meagre living conditions. A rich man, seeing this apparent contradiction, gives him money. The poor man worries about his new wealth & loses his former happiness. Finally he returns the money so as to be happy again.
685	754	**	St. Peter & His Wife	Religious Tales (750-849)	750-779 God Rewards & Punishes	Peter, having quarreled with his wife, stays out in front of his house in the rain. When the Lord asks him why he is outside, he lies & says that the house is full of smoke. The Lord enters. At the rear he finds St. Peter’s wife holding up a broom handle.
686	755	-	Sin & Grace	Religious Tales (750-849)	750-779 God Rewards & Punishes	A woman (on the advice of an old woman, devil) prevents the birth of her illegitimate children by using magic to procure abortions (kills the children, marries only when infertile, makes a contract with the devil). Later her husband (priest, preacher) realizes that she throws no shadow & casts her out as a sinner. She cannot be pardoned until a rose grows from a stone table. A churchman takes the woman at night into the church. The (souls of the) unborn children appear one by one, whip (rend) her, & finally forgive her. When the woman returns home a rose springs up. (She dies or her body is torn up by animals.)
687	756	-	The Three Green Twigs	Religious Tales (750-849)	750-779 God Rewards & Punishes	Legends about a wooden stick that grows roots & twigs & becomes a cypress, etc.
688	756	A	Self-Righteous Hermit	Religious Tales (750-849)	750-779 God Rewards & Punishes	A hermit mistrusts divine justice, or a man who thinks he is without sin complains about God’s decision of his place after death (punishment [hell] or reward [heaven]). This tale exists chiefly in four different forms: (1) An angel ceases to appear to a hermit because he spoke disparagingly of an evil-doer who was taken to the gallows. Thereupon the hermit has to do hard penance by wandering about as a beggar with a small dry branch. The hermit converts a band of robbers with the story of his misfortune. The next morning the hermit is found dead, with green twigs on his small dry branch. (2) A discontented hermit, an evil-doer, & a naked man covered with sand worry about their place in heaven. Angel Gabriel tells them God’s answers to their questions: the place of the hermit will be in hell because he doubts God’s justice, the evil-doer will be in heaven because of his hospitality, & even the sand will be removed from the naked man because of his ingratitude & impa tience. (3) A criminal has to do penance after confession: every time he passes a crucifix he should say the Lord’s prayer. When doing so he is killed by the relative of one of his former victims. The hermit, his father confessor, sees that the criminal is taken into heaven by angels, & he decides to leave God’s service. When he leaves his cell, he breaks his neck & is taken by the devil. (4) A murderer overhears the confession of a dying hermit. In despair the criminal utters a fast prayer regretting not having lived a life like the pious hermit’s. The hermit hears the exclamation & as he dies, he behaves haughtily towards the criminal, whereupon his soul is taken by the devil. The criminal runs away, falls into a pit, & is taken into heaven by angels.
689	756	B	Robber Madej	Religious Tales (750-849)	750-779 God Rewards & Punishes	A boy who intends to become a priest has been sold to the devil by his parents before birth. When the boy becomes aware of this contract he first asks a priest, then a bishop, & finally the pope for advice. The boy wants to go to hell in order to dissolve the contract, & the pope sends him to a hermit. The hermit directs him to his brother, a robber. The robber takes him to hell. In hell the boy obtains his contract (after many efforts to per suade the devil) & sees the fiery bed (chair) prepared for the robber. In anticipating his punishments the robber decides (is told) to do penance until his dry staff puts forth fresh blooms & fruit. Assured of forgiveness, he dies happy & goes to heaven. The hermit is astonished but reconciles himself to God’s judgment (blasphemes God & is damned). The boy returns from hell & becomes a priest.
690	756	C	Two Sinners	Religious Tales (750-849)	750-779 God Rewards & Punishes	A robber seeks to do penance for murdering ninety-nine men or for murder-ing his parents (for shooting at a consecrated wafer). After being rejected by several confessors he is as-signed the following penance by an old man: to “plant” a fire brand (live coals, small twig, axe, garden) & to wait until it grows into a green tree; to water the firebrand with water brought from a distance in his mouth; to carry a bag of stones (one for each murder) on his back or an iron hoop on his head till it falls off; to pasture black sheep till they become white Furthermore he should behave mercifully, carry a traveler over a stream, & offer free hospitality to all. For many years the robber does penance in vain until he inter-cepts a man who is about to commit a great crime. The robber kills the man & then regrets the deed. Thereupon the firebrand blooms (the stones or the hoop fall off or the sheep turn white). His confes sor tells him that all his sins have been forgiven because of the crime that was prevented by his last murder (because God is pleased with the hundredth murder).
691	756	C*	Receipt from Hell	Religious Tales (750-849)	750-779 God Rewards & Punishes	A tenant goes to hell (with the help of a little man) in order to procure a receipt for the rent from his dead landlord. He brings it back (and receives a mark as sign of contact with the dead).
692	756	D*	Who is the more Devout?	Religious Tales (750-849)	750-779 God Rewards & Punishes	A hermit (St. Peter) asks Christ if anyone is more devout than he. He is directed to a widow who hides in her house & takes care of the murderer of her only son (to a butcher who shelters the murderer of his father)
693	756	E*	Charity Rewarded.	Religious Tales (750-849)	750-779 God Rewards & Punishes	Charity is rated higher than prayer or attendance at mass. Friends make a pilgrimage to Christ’s grave, & another friend stays at home (on the way, in the shop). When he sees a poor man carrying a dead sheep (hen) in order to feed his children, he gives him money (and goods). When the pilgrims return they say that they have also seen their friend who had stayed behind at the grave (their friend’s name on the table in church). So they realize that the soul of a person who does good goes to Christ’s grave.
694	756	G*	Faith Moves Mountains	Religious Tales (750-849)	750-779 God Rewards & Punishes	This tale exists chiefly in three different forms: (1) A sultan orders that all Christians in his domain be put to death unless they can, by the strength of their belief, move a certain mountain. A poor (one-eyed, blind) shoemaker accomplishes the miracle: the power of his words pushes the mountain into the sea (along with the sultan & his courtiers). Thus the Christians are freed from their imprisonment. (2) A bishop imprisoned by heathens must demonstrate the power of his belief by moving a mountain. While he hesitates, a youth in his service accomplishes the miracle by the strength of his belief. The witnesses are so impressed that they convert to Christianity. (3) A Catholic craftsman uses his hammer to strike a mountain, which is moved into the sea.
695	757	-	The Emporer's Haughtiness Punished	Religious Tales (750-849)	750-779 God Rewards & Punishes	The emperor Jovinian feels like God. When he bathes, a stranger (angel) who looks like him takes away his clothes & reigns in his place. When Jovinian re-turns naked to the court nobody recognizes him & he is driven away. In his despair he starts to regret his former haughtiness. Later, when he asks again for the sovereignty, he is accepted as emperor. The stranger who had ruled in his place discloses himself as his guard ian angel & disappears. From then on the emperor lives humbly in a godfearing manner.
696	758	-	The Various Children of Eve	Religious Tales (750-849)	750-779 God Rewards & Punishes	After the expulsion from paradise Eve gives birth to a child every year. Her children are all different: some beautiful, some ugly. When God pays her a visit Eve bathes her beautiful children & dresses them nicely. She hides the ugly ones. (She is ashamed of the number of her children & therefore hides some.) When God arrives he blesses the beautiful children & des-tines them to become kings, earls, citizens or traders. Thereupon Eve wants her ugly children (hidden in the straw, hay, oven) to be bles sed as well. God destines those to be farmers, fishermen, smiths, tanners, shoemakers & servants. Upon Eve’s protest God explains that every class is necessary & legitimate for the functioning of society. Sometimes Eve consents to God’s will.
