idx	ATU	SUB	Classifications	Category	Subcategory	Variation Example
600	664	*	The Soldier Hypnotizes the Innkeeper	Tales of Magic (300-749)	650-699 Supernatural Power/ Knowledge	This tale exists chiefly in two different forms: (1) A soldier (passerby) in an inn pays with pieces of gold that turn out to be buttons (small bones). When the innkeeper takes the soldier to court, the soldier hypnotizes the judge so that he thinks a flood is occuring. He is forced to go through a series of adventures without leaving the room. Returning to his senses, the judge acquits the soldier. (2) A soldier tells tales & by his magic power makes an inn-keeper believe that he is a bear, that the soldier is a wolf, & that they are being chased by dogs, etc. The innkeeper falls out of his bed & comes to his senses.
601	665	-	The Man Who Flew like a Bird & Swam Like a Fish	Tales of Magic (300-749)	650-699 Supernatural Power/ Knowledge	A man (youngest of three brothers, cheated heir) is given the power of transforming himself into animals of earth, air, & water by an old man in return for his hospitality (construction of a bridge) or by grateful animals whom he had helped. He goes into the service of a king who has departed for war & has forgotten an (two) important object (magic sword, magic ring, telescope, war documents, gloves). The king promises his daughter to whoever can deliver the forgotten object immediately. The soldier offers his help. He reaches the castle fast by swimming as a fish, flying as a bird, & running as a rabbit. He presents himself to the princess in his different transformations. She gives him the forgotten object & keeps a piece of his scale, pelt, a bit of fur, & a feather for herself. On his return the soldier is killed by an envious rival. The murderer takes the forgotten object & claims the reward. When the princess asks to see a second demonstration of the trans-formations, the cheater fails. She refuses to marry him & her father threatens to execute her. The soldier, resuscitated by his magic helpers, arrives at the last moment, proves his identity (identification by feather & marries the princess. The cheater is condemned to death.)
602	666	*	Hero & Leander	Tales of Magic (300-749)	650-699 Supernatural Power/ Knowledge	During the feast of Adonis in Sestos, Leander sees Hero, a priestess of Aphrodite, falls in love with her at first sight, & wins her love. Hero has been consigned to celibacy, so the lovers can only meet secretly. Leander swims every night through the Hellespont strait to see Hero who shines a light from the tower for him. One stormy night the light goes out & Leander is drowned. Hero sees his body & plunges into the sea to be united with him in death.
603	667	-	The Wood Spirit's Foster-Son	Tales of Magic (300-749)	650-699 Supernatural Power/ Knowledge	A boy, who had been promised by his father in a crisis to a wood spirit (demon, drakos), receives from the latter the power to transform himself into various animals. He frees a princess who had been kidnapped by the demon, & is thrown into the sea by a treacherous nobleman who claims to have rescued the princess. The cheater is exposed, & the boy marries the princess.
604	670	-	Man Who Understands Animal Languages	Tales of Magic (300-749)	650-699 Supernatural Power/ Knowledge	A grateful snake gives a man the power to understand animal languages, & tells him that if he reveals the secret, he must die. Once the man hears animals talking & laughs. His curious wife insists on knowing why he does so. Worn down by her nagging, he is about to give in & tell her. Then he hears a rooster say how easily he rules his many wives, while the man cannot rule even his one wife. The man keeps his secret & does not tell her anything.
605	670	A	Woman Who Understands Animal Languages	Tales of Magic (300-749)	650-699 Supernatural Power/ Knowledge	A newly married woman who knows animal languages hears jackals (other animals) saying that a corpse floating in the river has a valuable ring on its finger. She pulls the corpse from the river & removes the ring. (In order to remove the ring she has to bite off the finger. Her husband sees her, believes her to be a cannibal ogress, & decides to return her to her family.) En route she overhears animals (birds) talking about where a treasure is hidden. Her husband learns the truth & they are reconciled. (The husband stays to guard the treasure & the wife goes to get her father-in-law. When he sees her returning alone, he concludes she has killed his son & is returning to kill him, & slays her before she has a chance to speak.)
606	671	-	The Three Languages	Tales of Magic (300-749)	650-699 Supernatural Power/ Knowledge	A young man learns the languages of dogs, birds, & frogs. His father, angry at such useless knowledge, drives him out & orders him to be killed. A compassionate servant lets him escape & substitutes an animal’s heart as proof for the murder. By means of his knowledge of the dogs’ language the boy Discovers a treasure (he cures a sick princess & marries her later). Through his knowledge of the frogs’ language he learns that he will be elected pope. When he arrives in Rome, two doves come to sit on his shoulders & he is recognized as a man worthy of being pope (birds indicate his election as pope). The two doves tell him what to do so that he will be elected pope, & give him advice on how to act.
607	671	D*	To Die Next Day	Tales of Magic (300-749)	650-699 Supernatural Power/ Knowledge	A farmer, overhearing the conversation of animals talking (during Christmas, New Year’s or Easter night), finds that he is to die (is warned of death) the next day (very soon). The prediction comes true.
608	671	E*	A Magic Boy	Tales of Magic (300-749)	650-699 Supernatural Power/ Knowledge	A boy understands the language of birds & can in-terpret dreams. A merchant takes the boy in payment for goods & orders him to be slaughtered. He wants to eat the boy’s heart & liver in order to obtain his wisdom. The boy escapes. The merchant is called to the king to interpret a dream. He cannot do this. The boy arrives, interprets the dream, & exposes the merchant.
609	672	-	Serpent's Crown	Tales of Magic (300-749)	650-699 Supernatural Power/ Knowledge	This misc. type comprises various tales dealing with a serpent’s crown. (1) A man steals a serpent’s crown. When the serpent pursues him he throws his garment behind him. A cook cooks the crown & learns the language of animals (and/or receives wealth). (2) A girl finds the crown (stone) of a serpent which it had laid down (lost). The serpent dies (kills itself from sorrow). (3) A good-natured maidservant shares milk with a (sick) serpent (wearing a crown) & is chased away by a farmer. When the maidservant marries a (rich) shepherd, the serpent, still grateful for the milk, appears at her wedding & lays down its crown of silver & gold. Or, the serpent gives her its crown in return for her sharing her milk. Later, the maidservant, at her wedding, thanks the snake for its help & returns the crown.
610	672	B*	Expelling Snakes	Tales of Magic (300-749)	650-699 Supernatural Power/ Knowledge	A sorcerer undertakes to expel snakes from a certain region. He succeeds in decoying the king of the snakes (white crowned snake), but dies from a snakebite (is carried off into the earth with the snakes).
611	672	C*	Testimony of the Serpent	Tales of Magic (300-749)	650-699 Supernatural Power/ Knowledge	A woman who owns (is friendly with) a magic serpent is raped by a prince. The woman asks the serpent, who witnessed the act of violence, to testify that the prince should marry no one else. (A prince calls a serpent to witness that he will marry a farmwife.) When the prince is about to marry a beautiful princess, the serpent twists itself about his neck. The first woman comes & frees him from the serpent on the condition that he marries her. (The serpent appears at the prince’s wedding, twists itself about his neck, & unwinds itself only when he will marry the farmwife.)
